NAMES,,SUB-NAMES,,dcterms:spatial,,dcterms:date,,Audio,,3D Artifact,3D Artifact Citation,,art:url. (USC),Image File Name (USC),art:url. (UA),,Image File Name UA,,,,,Text
FN-1A,,FN-1A1,,"19.605298398189, -72.2190736460248",,,,https://soundcloud.com/decodingdiaspora/ep1-facts-about-the-negro,,,,,https://scalar.usc.edu/works/decoding-diaspora/media/fn-1a,https://scalar.usc.edu/works/decoding-diaspora/media/FN-1A.jpg,https://decodingdiaspora.org/decoding-diaspora/media/fn-1a,,https://decodingdiaspora.org/decoding-diaspora/media/FN-1A.jpg,,,,,"Ruins of the Palace of San Souci, Haiti Built by Christophe (Later Emperor Henry I). He also built the fortress of monuments of the New World. Together with Toussaint L’ouverture and Dessalines, he was one of the greatest authors of Haitian Independence.?"
FN-1B,,FN-1B1,,"17.1554, -62.5796",,,,https://soundcloud.com/decodingdiaspora/ep1-facts-about-the-negro,,,,,https://scalar.usc.edu/works/decoding-diaspora/media/fn-1b,https://scalar.usc.edu/works/decoding-diaspora/media/FN-1B.jpg,https://decodingdiaspora.org/decoding-diaspora/media/fn-1b,,https://decodingdiaspora.org/decoding-diaspora/media/FN-1B.jpg,,,,,"Fanny Nesbit The Beautiful wife of Lord Nelson, England’s greatest sea hero and later Duchess of Bronte was popularly said to have been of Negro Descent...Native of Nevis, West Indies"
FN-1B,,FN-1B2,,"51.5072, 0.1276",,,,https://soundcloud.com/decodingdiaspora/ep1-facts-about-the-negro,,,,,https://scalar.usc.edu/works/decoding-diaspora/media/fn-1b,https://scalar.usc.edu/works/decoding-diaspora/media/FN-1B.jpg,https://decodingdiaspora.org/decoding-diaspora/media/fn-1b,,https://decodingdiaspora.org/decoding-diaspora/media/FN-1B.jpg,,,,,"Fanny Nesbit The Beautiful wife of Lord Nelson, England’s greatest sea hero and later Duchess of Bronte was popularly said to have been of Negro Descent...Native of Nevis, West Indies"
FN-1C,,FN-1C1,,"-25.74486 , 28.18783",,1949,,https://soundcloud.com/decodingdiaspora/ep1-facts-about-the-negro,,,,,https://scalar.usc.edu/works/decoding-diaspora/media/fn-1c,https://scalar.usc.edu/works/decoding-diaspora/media/FN-1C.jpg,https://decodingdiaspora.org/decoding-diaspora/media/fn-1c,,https://decodingdiaspora.org/decoding-diaspora/media/FN-1C.jpg,,,,,"Nearly all the mineral wealth of South Africa is dug by Negro Labor. In 1949, the Blacks dug out 11,708,013 ounces of god; 1,382000 carats of diamonds; 1,171,000 ounces of silver; as well as platinum and other rich ores. These gold and diamond miners are very poorly paid and are virtually slaves.?"
FN-2A,,FN-2A1,,"29.30135, -94.7977",,1878,,https://soundcloud.com/decodingdiaspora/ep-2-facts-about-the-negro,,https://rendercrate.com/objects/RenderCrate-Boxing_Gloves,"_____. December 2, 2021. “Boxing Gloves.” RenderCrate. https://rendercrate.com/objects/RenderCrate-Boxing_Gloves. Used royalty-free with no attribution required.",,https://scalar.usc.edu/works/decoding-diaspora/media/fn-2a,https://scalar.usc.edu/works/decoding-diaspora/media/FN-2A.jpg,https://decodingdiaspora.org/decoding-diaspora/media/fn-2a,,https://decodingdiaspora.org/decoding-diaspora/media/FN-2A.jpg,,,,,"Jack Johnson Considered by many as the greatest of all heavyweight champions. Born in Galveston, Texas in 1878, he won the world’s heavyweight championship from Tommy Burns in Australia. Defeated Jim Jeffries who was persuaded to return from retirement to wrest the title from him. A master of the art of defense, he held the title longer than any other heavyweight champion. Was finally defeated by Jess Willard in Havana, Cuba, 1915. Continued fighting until 1924. Active until his death in an auto accident in N. Carolina, 1945.?"
FN-2A,,FN-2A2,,"35.7721, -78.63861",,1945,,https://soundcloud.com/decodingdiaspora/ep-2-facts-about-the-negro,,https://rendercrate.com/objects/RenderCrate-Boxing_Gloves,"_____. December 2, 2021. “Boxing Gloves.” RenderCrate. https://rendercrate.com/objects/RenderCrate-Boxing_Gloves. Used royalty-free with no attribution required.",,https://scalar.usc.edu/works/decoding-diaspora/media/fn-2a,https://scalar.usc.edu/works/decoding-diaspora/media/FN-2A.jpg,https://decodingdiaspora.org/decoding-diaspora/media/fn-2a,,https://decodingdiaspora.org/decoding-diaspora/media/FN-2A.jpg,,,,,"Jack Johnson Considered by many as the greatest of all heavyweight champions. Born in Galveston, Texas in 1878, he won the world’s heavyweight championship from Tommy Burns in Australia. Defeated Jim Jeffries who was persuaded to return from retirement to wrest the title from him. A master of the art of defense, he held the title longer than any other heavyweight champion. Was finally defeated by Jess Willard in Havana, Cuba, 1915. Continued fighting until 1924. Active until his death in an auto accident in N. Carolina, 1945.?"
FN-2A,,FN-2A3,,"-33.86785, 151.20732",,,,https://soundcloud.com/decodingdiaspora/ep-2-facts-about-the-negro,,https://rendercrate.com/objects/RenderCrate-Boxing_Gloves,"_____. December 2, 2021. “Boxing Gloves.” RenderCrate. https://rendercrate.com/objects/RenderCrate-Boxing_Gloves. Used royalty-free with no attribution required.",,https://scalar.usc.edu/works/decoding-diaspora/media/fn-2a,https://scalar.usc.edu/works/decoding-diaspora/media/FN-2A.jpg,https://decodingdiaspora.org/decoding-diaspora/media/fn-2a,,https://decodingdiaspora.org/decoding-diaspora/media/FN-2A.jpg,,,,,"Jack Johnson Considered by many as the greatest of all heavyweight champions. Born in Galveston, Texas in 1878, he won the world’s heavyweight championship from Tommy Burns in Australia. Defeated Jim Jeffries who was persuaded to return from retirement to wrest the title from him. A master of the art of defense, he held the title longer than any other heavyweight champion. Was finally defeated by Jess Willard in Havana, Cuba, 1915. Continued fighting until 1924. Active until his death in an auto accident in N. Carolina, 1945.?"
FN-2A,,FN-2A4,,"23.133, -82.383",,1915,,https://soundcloud.com/decodingdiaspora/ep-2-facts-about-the-negro,,https://rendercrate.com/objects/RenderCrate-Boxing_Gloves,"_____. December 2, 2021. “Boxing Gloves.” RenderCrate. https://rendercrate.com/objects/RenderCrate-Boxing_Gloves. Used royalty-free with no attribution required.",,https://scalar.usc.edu/works/decoding-diaspora/media/fn-2a,https://scalar.usc.edu/works/decoding-diaspora/media/FN-2A.jpg,https://decodingdiaspora.org/decoding-diaspora/media/fn-2a,,https://decodingdiaspora.org/decoding-diaspora/media/FN-2A.jpg,,,,,"Jack Johnson Considered by many as the greatest of all heavyweight champions. Born in Galveston, Texas in 1878, he won the world’s heavyweight championship from Tommy Burns in Australia. Defeated Jim Jeffries who was persuaded to return from retirement to wrest the title from him. A master of the art of defense, he held the title longer than any other heavyweight champion. Was finally defeated by Jess Willard in Havana, Cuba, 1915. Continued fighting until 1924. Active until his death in an auto accident in N. Carolina, 1945.?"
FN-2B,,FN-2B1,,"40.73566, -74.17237",,,,https://soundcloud.com/decodingdiaspora/ep-2-facts-about-the-negro,,,,,https://scalar.usc.edu/works/decoding-diaspora/media/fn-2b,https://scalar.usc.edu/works/decoding-diaspora/media/FN-2B.jpg,https://decodingdiaspora.org/decoding-diaspora/media/fn-2b,,https://decodingdiaspora.org/decoding-diaspora/media/FN-2B.jpg,,,,,"Huldah Clark Of Newark, N. J.. Guest of Premier Khruschev of Russia who is having her educated there. She is studying chiefly math, chemistry, biology and Russian. Her working hours are from 9am to 2pm and 5pm to 8pm. She said Russian Children are three grades ahead of American ones though they don’t start school until they are seven. She likes Russia very much.?"
FN-2B,,FN-2B2,,"55.75222, 37.61556",,,,https://soundcloud.com/decodingdiaspora/ep-2-facts-about-the-negro,,,,,https://scalar.usc.edu/works/decoding-diaspora/media/fn-2b,https://scalar.usc.edu/works/decoding-diaspora/media/FN-2B.jpg,https://decodingdiaspora.org/decoding-diaspora/media/fn-2b,,https://decodingdiaspora.org/decoding-diaspora/media/FN-2B.jpg,,,,,"Huldah Clark Of Newark, N. J.. Guest of Premier Khruschev of Russia who is having her educated there. She is studying chiefly math, chemistry, biology and Russian. Her working hours are from 9am to 2pm and 5pm to 8pm. She said Russian Children are three grades ahead of American ones though they don’t start school until they are seven. She likes Russia very much.?"
FN-2C,,FN-2C2,,"37.51116, -94.838021",,,,https://soundcloud.com/decodingdiaspora/ep-2-facts-about-the-negro,,"Crashh. January 1, 2023. “Hand Grenade Prop (Optionally Springloaded!).” Cults3d. https://cults3d.com/en/3d-model/game/hand-grenade-prop-optionally-springloaded Used under CC by Attribution.",https://cults3d.com/en/3d-model/game/hand-grenade-prop-optionally-springloaded,,https://scalar.usc.edu/works/decoding-diaspora/media/fn-2c,https://scalar.usc.edu/works/decoding-diaspora/media/FN-2C.jpg,https://decodingdiaspora.org/decoding-diaspora/media/fn-2c,,https://decodingdiaspora.org/decoding-diaspora/media/FN-2C.jpg,,,,,"Corp. Isaac Valley Of Girard, Kansas, was awarded the Distinguished Service Cross for what Gen. Pershing called “One of the most gallant deeds” of World War I. When a hand grenade dropped from a private’s hand, he placed his foot over it . It blew off his foot but saved the lives of his comrades in the trench.?"
